一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
水产,虾蟹类,琵琶虾,35.0,47.5,60.0,斤,2024-01-01,0
水产,虾蟹类,琵琶虾,35.0,47.5,60.0,斤,2023-12-31,1
水产,虾蟹类,琵琶虾,55.0,57.5,60.0,斤,2023-12-29,2
水产,虾蟹类,琵琶虾,55.0,57.5,60.0,斤,2023-12-28,3
水产,虾蟹类,琵琶虾,55.0,57.5,60.0,斤,2023-12-27,4
水产,虾蟹类,琵琶虾,55.0,60.0,65.0,斤,2023-12-26,5
水产,虾蟹类,琵琶虾,55.0,60.0,65.0,斤,2023-12-25,6
水产,虾蟹类,琵琶虾,55.0,57.5,60.0,斤,2023-12-24,7
水产,虾蟹类,琵琶虾,50.0,52.5,55.0,斤,2023-12-22,8
水产,虾蟹类,琵琶虾,50.0,52.5,55.0,斤,2023-12-21,9
水产,虾蟹类,琵琶虾,50.0,52.5,55.0,斤,2023-12-20,10
水产,虾蟹类,琵琶虾,50.0,52.5,55.0,斤,2023-12-19,11
水产,虾蟹类,琵琶虾,50.0,52.5,55.0,斤,2023-12-18,12
水产,虾蟹类,琵琶虾,55.0,57.5,60.0,斤,2023-12-17,13
水产,虾蟹类,琵琶虾,55.0,57.5,60.0,斤,2023-12-15,14
水产,虾蟹类,琵琶虾,55.0,57.5,60.0,斤,2023-12-14,15
水产,虾蟹类,琵琶虾,58.0,61.5,65.0,斤,2023-12-13,16
水产,虾蟹类,琵琶虾,50.0,52.5,55.0,斤,2023-12-12,17
水产,虾蟹类,琵琶虾,45.0,50.0,55.0,斤,2023-12-11,18
水产,虾蟹类,琵琶虾,30.0,32.5,35.0,斤,2023-12-10,19
水产,虾蟹类,琵琶虾,30.0,32.5,35.0,斤,2023-12-08,20
水产,虾蟹类,琵琶虾,30.0,32.5,35.0,斤,2023-12-07,21
水产,虾蟹类,琵琶虾,30.0,32.5,35.0,斤,2023-12-06,22
水产,虾蟹类,琵琶虾,25.0,27.5,30.0,斤,2023-12-05,23
水产,虾蟹类,琵琶虾,90.0,95.0,100.0,斤,2023-06-02,24
水产,虾蟹类,琵琶虾,90.0,95.0,100.0,斤,2023-06-01,25
水产,虾蟹类,琵琶虾,90.0,95.0,100.0,斤,2023-05-31,26
水产,虾蟹类,琵琶虾,90.0,95.0,100.0,斤,2023-05-30,27
水产,虾蟹类,琵琶虾,90.0,92.5,95.0,斤,2023-05-29,28
水产,虾蟹类,琵琶虾,90.0,92.5,95.0,斤,2023-05-28,29
水产,虾蟹类,琵琶虾,85.0,87.5,90.0,斤,2023-05-26,30
水产,虾蟹类,琵琶虾,85.0,87.5,90.0,斤,2023-05-25,31
水产,虾蟹类,琵琶虾,80.0,85.0,90.0,斤,2023-05-24,32
